Index,Range_mm,Percentage
1,1656,0
2,20,100
3,8191,0
4,20,100
5,20,100
6,1630,0
7,1654,0
8,20,100
9,1655,0
10,20,100
11,254,0
12,190,0
13,148,24
14,133,37
15,122,47
16,115,53
17,117,51
18,121,48
19,120,49
20,117,51
21,121,48
22,115,53
23,113,55
24,115,53
25,114,54
26,114,54
27,111,57
28,113,55
29,111,57
30,110,58
31,114,54
32,105,62
33,99,67
34,97,69
35,101,66
36,96,70
37,91,75
38,93,73
39,86,79
40,85,80
41,86,79
42,81,83
43,82,83
44,76,88
45,76,88
46,73,91
47,69,94
48,69,94
49,65,98
50,66,97
51,64,99
52,62,100
53,63,100
54,62,100
55,65,98
56,65,98
57,64,99
58,68,95
59,74,90
60,80,84
61,84,81
62,88,77
63,90,75
64,96,70
65,100,66
66,108,59
67,111,57
68,118,50
69,122,47
70,123,46
71,127,42
72,130,40
73,131,39
74,139,32
75,143,28
76,153,19
77,161,12
78,164,9
79,171,3
80,176,0
81,179,0
82,185,0
83,187,0
84,189,0
85,187,0
86,185,0
87,183,0
88,182,0
89,183,0
90,183,0
91,184,0
92,183,0
93,181,0
94,183,0
95,184,0
96,179,0
97,179,0
98,156,16
99,99,67
100,70,93
101,57,100
102,55,100
103,58,100
104,57,100
105,54,100
106,56,100
107,59,100
108,60,100
109,58,100
110,58,100
111,58,100
112,56,100
113,58,100
114,60,100
115,57,100
116,57,100
117,58,100
118,58,100
119,60,100
120,59,100
121,59,100
122,61,100
123,60,100
124,63,100
125,63,100
126,61,100
127,62,100
128,60,100
129,65,98
130,64,99
131,65,98
132,67,96
133,64,99
134,66,97
135,62,100
136,64,99
137,64,99
138,63,100
139,67,96
140,64,99
141,62,100
142,62,100
143,61,100
144,61,100
145,61,100
146,59,100
147,60,100
148,63,100
149,59,100
150,59,100
151,58,100
152,59,100
153,61,100
154,56,100
155,56,100
156,60,100
157,65,98
